current_belt;gender;reasons
blue belt;Male;no answer
purple belt;Male;fitness
white belt;Male;fitness
white belt;Male;grappled  / wrestled before
white belt;Male;mma
white belt;Male;needed a challenge
brown belt;Male;fitness
brown belt;Male;it is effective
brown belt;Male;self defense
purple belt;Male;grappled  / wrestled before
blue belt;Male;friend
blue belt;Male;mental health
blue belt;Male;mma
purple belt;Male;try somethig new / change
white belt;Male;friend
white belt;Male;mma
blue belt;Male;become more peaceful
blue belt;Male;family
blue belt;Male;mental health
blue belt;Male;try somethig new / change
white belt;Male;no answer
blue belt;Male;self defense
blue belt;Male;mma
purple belt;Male;joe rogan
brown belt;Male;friend
brown belt;Male;ufc
white belt;Male;tired of being hurt in another sport
blue belt;Male;fitness
blue belt;Male;fun
purple belt;Male;just wanted to try
blue belt;Male;famous bjj athlete
purple belt;Male;self defense
purple belt;Male;family
blue belt;Male;it is effective
blue belt;Male;joe rogan
purple belt;Male;mma
blue belt;Male;improve groundwork
blue belt;Male;just wanted to try
blue belt;Male;mma
blue belt;Male;try somethig new / change
white belt;Male;no answer
purple belt;Male;mma
white belt;Male;mental health
white belt;Male;develop discipline
blue belt;Male;joe rogan
blue belt;Male;mental health
blue belt;Male;needed a challenge
blue belt;Male;work
blue belt;Male;just wanted to try
purple belt;Male;it is effective
blue belt;Male;learn how to fight
blue belt;Male;famous bjj athlete
brown belt;Male;no answer
white belt;Male;fitness
white belt;Male;improve groundwork
white belt;Male;mma
white belt;Male;grappled  / wrestled before
white belt;Male;love from the first roll
white belt;Male;it is effective
white belt;Female;love from the first roll
blue belt;Male;fitness
purple belt;Male;family
purple belt;Male;get in shape
black belt;Male;grappled  / wrestled before
white belt;Female;fun
brown belt;Male;work
white belt;Female;family
white belt;Female;instructor / black belt
white belt;Male;improved my life
white belt;Male;mma
blue belt;Male;tired of being hurt in another sport
blue belt;Male;try somethig new / change
blue belt;Male;family
white belt;Male;fitness
white belt;Male;get in shape
blue belt;Male;get in shape
blue belt;Male;learn how to fight
blue belt;Male;friend
blue belt;Male;fun
blue belt;Male;instructor / black belt
blue belt;Male;mma
brown belt;Male;camaraderie
brown belt;Male;friend
purple belt;Male;no answer
blue belt;Male;no answer
white belt;Male;love from the first roll
white belt;Male;ufc
purple belt;Male;health
blue belt;Male;just wanted to try
purple belt;Male;fun
purple belt;Male;health
white belt;Male;mma
purple belt;Male;fitness
purple belt;Male;fun
blue belt;Male;just wanted to try
no rank;Male;useful for job (police / army)
blue belt;Male;fitness
blue belt;Male;mental health
white belt;Male;fitness
white belt;Male;friend
white belt;Male;love from the first roll
white belt;Male;mma
white belt;Male;try somethig new / change
white belt;Male;no answer
blue belt;Male;self defense
blue belt;Male;ufc
white belt;Male;develop discipline
white belt;Male;friend
blue belt;Male;grappled  / wrestled before
blue belt;Female;friend
blue belt;Female;try somethig new / change
white belt;Male;family
white belt;Male;instructor / black belt
white belt;Male;it is effective
purple belt;Male;fitness
blue belt;Male;famous bjj athlete
blue belt;Male;ufc
white belt;Male;fun
purple belt;Male;fitness
blue belt;Male;self defense
blue belt;Male;famous bjj athlete
white belt;Male;self defense
blue belt;Male;no answer
blue belt;Male;just wanted to try
blue belt;Male;ufc
purple belt;Male;no answer
white belt;Male;friend
white belt;Male;try somethig new / change
white belt;Male;get in shape
white belt;Male;mma
blue belt;Male;curiosity
white belt;Male;get in shape
white belt;Male;work
blue belt;Male;fitness
blue belt;Male;friend
blue belt;Male;mma
white belt;Female;no answer
white belt;Male;no answer
white belt;Male;no answer
blue belt;Female;family
blue belt;Female;friend
purple belt;Male;fun
purple belt;Male;just wanted to try
white belt;Male;get in shape
white belt;Male;no answer
purple belt;Male;fitness
purple belt;Male;self defense
blue belt;Male;fitness
blue belt;Male;fun
white belt;Male;mma
purple belt;Male;no answer
blue belt;Male;grappled  / wrestled before
blue belt;Male;improve groundwork
blue belt;Male;fitness
blue belt;Male;grappled  / wrestled before
blue belt;Male;useful for job (police / army)
white belt;Male;mma
white belt;Male;it is effective
white belt;Male;just wanted to try
blue belt;Male;family
blue belt;Male;fitness
blue belt;Male;just wanted to try
purple belt;Male;no answer
purple belt;Male;grappled  / wrestled before
white belt;Male;no answer
white belt;Male;family
white belt;Male;fitness
white belt;Male;love from the first roll
blue belt;Male;family
blue belt;Male;fun
blue belt;Male;no answer
purple belt;Male;mma
white belt;Female;instructor / black belt
white belt;Female;mma
white belt;Male;friend
white belt;Male;try somethig new / change
blue belt;Male;helps with / transitioned from judo
blue belt;Male;mma
blue belt;Male;needed a challenge
blue belt;Male;try somethig new / change
white belt;Male;grappled  / wrestled before
white belt;Male;it is effective
white belt;Male;family
white belt;Male;fun
white belt;Male;get in shape
white belt;Male;self defense
purple belt;Male;no answer
white belt;Male;friend
blue belt;Male;fun
blue belt;Male;just wanted to try
blue belt;Male;no answer
white belt;Male;health
white belt;Male;just wanted to try
white belt;Male;no answer
purple belt;Male;helps with / transitioned from judo
purple belt;Male;try somethig new / change
blue belt;Female;grappled  / wrestled before
blue belt;Female;love from the first roll
blue belt;Female;mma
blue belt;Female;try somethig new / change
purple belt;Male;fun
purple belt;Male;mma
white belt;Male;camaraderie
white belt;Male;mma
white belt;Male;try somethig new / change
purple belt;Male;friend
purple belt;Male;fun
purple belt;Male;grappled  / wrestled before
white belt;Male;no answer
white belt;Male;mma
white belt;Male;try somethig new / change
white belt;Male;family
white belt;Male;get in shape
white belt;Male;love from the first roll
white belt;Male;mma
brown belt;Male;improve groundwork
purple belt;Male;grappled  / wrestled before
blue belt;Female;friend
blue belt;Female;partner
no rank;Male;get in shape
no rank;Male;ufc
blue belt;Male;grappled  / wrestled before
blue belt;Male;it is effective
white belt;Male;no answer
white belt;Male;helps with / transitioned from judo
white belt;Male;self defense
purple belt;Male;helps with / transitioned from judo
purple belt;Male;improve groundwork
purple belt;Male;just wanted to try
purple belt;Male;work
blue belt;Male;fitness
blue belt;Male;grappled  / wrestled before
blue belt;Male;mma
blue belt;Male;tired of being hurt in another sport
blue belt;Male;try somethig new / change
white belt;Male;mental health
purple belt;Male;fun
white belt;Male;just wanted to try
purple belt;Male;famous bjj athlete
purple belt;Male;fun
purple belt;Male;ufc
white belt;Male;learn how to fight
white belt;Female;fitness
white belt;Female;self defense
blue belt;Male;fitness
blue belt;Male;fun
purple belt;Male;fitness
purple belt;Male;try somethig new / change
purple belt;Male;no answer
blue belt;Male;wanted to compete
brown belt;Male;fitness
purple belt;Male;improve groundwork
white belt;Male;no answer
white belt;Male;improve groundwork
white belt;Male;just wanted to try
white belt;Male;mma
white belt;Male;work
blue belt;Male;family
blue belt;Male;love from the first roll
blue belt;Male;mma
blue belt;Male;small people can do it
blue belt;Male;work
blue belt;Female;partner
white belt;Male;family
white belt;Male;friend
white belt;Male;grappled  / wrestled before
white belt;Male;love from the first roll
blue belt;Female;fun
blue belt;Male;no answer
blue belt;Male;just wanted to try
white belt;Male;just wanted to try
white belt;Male;useful for job (police / army)
white belt;Male;work
white belt;Male;fitness
white belt;Male;fun
white belt;Male;needed a challenge
white belt;Male;no answer
black belt;Male;family
black belt;Male;love from the first roll
purple belt;Female;self defense
blue belt;Male;fitness
blue belt;Male;mma
white belt;Male;famous bjj athlete
blue belt;Male;no answer
white belt;Male;friend
black belt;Male;fitness
black belt;Male;wanted to compete
blue belt;Male;no answer
brown belt;Male;get in shape
blue belt;Male;fun
blue belt;Male;helps with / transitioned from judo
blue belt;Male;self defense
blue belt;Male;learn how to fight
blue belt;Male;fun
purple belt;Male;no answer
white belt;Male;fun
white belt;Male;it is effective
white belt;Male;just wanted to try
white belt;Male;mma
white belt;Male;famous bjj athlete
white belt;Male;just wanted to try
white belt;Male;ufc
purple belt;Male;friend
purple belt;Male;love from the first roll
no rank;Male;no answer
blue belt;Male;get in shape
blue belt;Male;try somethig new / change
blue belt;Male;fitness
blue belt;Male;self defense
blue belt;Male;no answer
white belt;Male;no answer
blue belt;Male;family
blue belt;Male;tired of being hurt in another sport
blue belt;Male;try somethig new / change
brown belt;Male;get in shape
purple belt;Male;friend
purple belt;Male;love from the first roll
purple belt;Male;work
blue belt;Male;fitness
blue belt;Male;camaraderie
no rank;Male;improve groundwork
white belt;Male;improve groundwork
brown belt;Male;mma
white belt;Male;famous bjj athlete
white belt;Male;ufc
white belt;Male;grappled  / wrestled before
white belt;Male;helps with / transitioned from judo
white belt;Male;joe rogan
white belt;Female;become more confident
purple belt;Male;curiosity
purple belt;Male;divorce
purple belt;Male;famous bjj athlete
purple belt;Male;needed a challenge
white belt;Female;grappled  / wrestled before
white belt;Female;just wanted to try
purple belt;Male;no answer
white belt;Male;family
purple belt;Male;get in shape
purple belt;Male;mental health
brown belt;Male;curiosity
white belt;Male;fitness
purple belt;Male;fitness
white belt;Male;health
white belt;Male;self defense
no rank;Male;grappled  / wrestled before
white belt;Male;fitness
white belt;Male;grappled  / wrestled before
white belt;Male;love from the first roll
white belt;Male;mma
purple belt;Male;no answer
white belt;Male;grappled  / wrestled before
white belt;Female;try somethig new / change
purple belt;Male;family
white belt;Male;try somethig new / change
white belt;Male;work
white belt;Male;family
purple belt;Male;fun
purple belt;Male;fitness
blue belt;Male;joe rogan
blue belt;Male;just wanted to try
blue belt;Male;mma
purple belt;Male;get in shape
blue belt;Male;self defense
white belt;Male;learn how to fight
white belt;Male;love from the first roll
white belt;Male;tired of being hurt in another sport
white belt;Male;ufc
white belt;Male;helps with / transitioned from judo
white belt;Male;instructor / black belt
white belt;Male;it is effective
white belt;Male;just wanted to try
white belt;Male;friend
white belt;Male;love from the first roll
white belt;Male;ufc
white belt;Male;no answer
white belt;Male;useful for job (police / army)
white belt;Male;try somethig new / change
purple belt;Female;love from the first roll
blue belt;Male;get in shape
white belt;Male;fitness
white belt;Male;curiosity
blue belt;Male;helps with / transitioned from judo
blue belt;Male;ufc
blue belt;Male;fun
blue belt;Male;grappled  / wrestled before
blue belt;Male;mma
blue belt;Male;fun
blue belt;Male;get in shape
black belt;Male;health
purple belt;Male;no answer
white belt;Male;ufc
white belt;Male;useful for job (police / army)
white belt;Male;no answer
white belt;Male;mma
purple belt;Male;curiosity
purple belt;Male;get in shape
purple belt;Male;ufc
purple belt;Male;work
black belt;Male;no answer
white belt;Male;fun
white belt;Male;health
white belt;Male;mental health
purple belt;Male;improve groundwork
blue belt;Male;get in shape
white belt;Female;grappled  / wrestled before
white belt;Female;love from the first roll
white belt;Male;no answer
brown belt;Male;self defense
no rank;Male;friend
blue belt;Female;helps with / transitioned from judo
purple belt;Male;friend
blue belt;Male;family
blue belt;Male;instructor / black belt
blue belt;Male;try somethig new / change
white belt;Male;curiosity
white belt;Male;fitness
white belt;Male;joe rogan
white belt;Male;just wanted to try
white belt;Male;mental health
white belt;Male;self defense
black belt;Male;anger management
black belt;Male;friend
black belt;Male;partner
black belt;Male;self defense
white belt;Male;curiosity
white belt;Male;instructor / black belt
white belt;Male;just wanted to try
white belt;Male;wanted to compete
white belt;Male;improve groundwork
white belt;Male;fun
white belt;Male;mma
white belt;Male;work
black belt;Male;grappled  / wrestled before
black belt;Male;helps with / transitioned from judo
white belt;Male;get in shape
black belt;Male;no answer
blue belt;Male;friend
blue belt;Male;partner
purple belt;Male;famous bjj athlete
purple belt;Male;ufc
blue belt;Male;fitness
blue belt;Male;love from the first roll
blue belt;Male;ufc
purple belt;Male;just wanted to try
white belt;Male;fitness
purple belt;Male;become more confident
purple belt;Male;health
purple belt;Male;self defense
purple belt;Male;no answer
blue belt;Male;family
blue belt;Male;health
blue belt;Male;no answer
purple belt;Male;self defense
purple belt;Male;no answer
white belt;Male;fitness
white belt;Male;grappled  / wrestled before
white belt;Male;mma
blue belt;Male;family
blue belt;Male;just wanted to try
black belt;Male;mma
no rank;Male;no answer
purple belt;Male;fun
purple belt;Male;family
purple belt;Male;mma
blue belt;Male;fitness
blue belt;Male;just wanted to try
blue belt;Male;just wanted to try
blue belt;Male;mma
purple belt;Male;family
purple belt;Male;fun
purple belt;Male;small people can do it
purple belt;Male;fitness
purple belt;Male;no answer
brown belt;Male;just wanted to try
brown belt;Male;grappled  / wrestled before
white belt;Male;fitness
white belt;Male;get in shape
white belt;Male;instructor / black belt
white belt;Male;just wanted to try
white belt;Male;love from the first roll
white belt;Male;try somethig new / change
purple belt;Male;grappled  / wrestled before
blue belt;Male;fitness
blue belt;Male;fun
blue belt;Male;self defense
blue belt;Male;friend
purple belt;Female;self defense
black belt;Male;famous bjj athlete
blue belt;Male;try somethig new / change
brown belt;Male;mma
brown belt;Male;try somethig new / change
blue belt;Male;just wanted to try
no rank;Male;famous bjj athlete
no rank;Male;mma
blue belt;Male;grappled  / wrestled before
blue belt;Male;helps with / transitioned from judo
purple belt;Male;improve groundwork
purple belt;Male;ufc
purple belt;Male;ufc
brown belt;Male;health
blue belt;Male;grappled  / wrestled before
blue belt;Male;love from the first roll
blue belt;Male;mma
brown belt;Male;mma
black belt;Male;family
black belt;Male;famous bjj athlete
blue belt;Male;family
blue belt;Male;ufc
purple belt;Male;famous bjj athlete
purple belt;Male;ufc
purple belt;Male;friend
purple belt;Male;try somethig new / change
black belt;Male;get in shape
black belt;Male;friend
white belt;Male;family
white belt;Male;friend
white belt;Male;just wanted to try
blue belt;Male;grappled  / wrestled before
blue belt;Male;love from the first roll
blue belt;Male;mental health
blue belt;Male;mma
blue belt;Male;try somethig new / change
blue belt;Male;wanted to compete
brown belt;Male;friend
blue belt;Male;no answer
black belt;Male;grappled  / wrestled before
black belt;Male;just wanted to try
black belt;Male;mma
white belt;Male;no answer
white belt;Male;fitness
white belt;Male;self defense
white belt;Male;try somethig new / change
blue belt;Male;fitness
blue belt;Male;health
blue belt;Male;needed a challenge
blue belt;Male;self defense
blue belt;Male;grappled  / wrestled before
blue belt;Male;mma
blue belt;Male;mma
blue belt;Male;work
white belt;Male;get in shape
white belt;Male;helps with / transitioned from judo
white belt;Male;improve groundwork
white belt;Male;love from the first roll
white belt;Male;work
black belt;Male;fitness
purple belt;Male;it is effective
purple belt;Male;mma
brown belt;Female;helps with / transitioned from judo
brown belt;Female;improve groundwork
blue belt;Female;friend
black belt;Male;it is effective
white belt;Male;personal development
blue belt;Male;curiosity
blue belt;Male;no answer
white belt;Male;grappled  / wrestled before
white belt;Male;helps with / transitioned from judo
white belt;Male;love from the first roll
white belt;Male;try somethig new / change
brown belt;Male;ufc
black belt;Male;instructor / black belt
blue belt;Male;fun
blue belt;Male;useful for job (police / army)
white belt;Male;it is effective
black belt;Female;just wanted to try
black belt;Female;try somethig new / change
purple belt;Male;grappled  / wrestled before
purple belt;Male;improve groundwork
purple belt;Male;mma
white belt;Male;just wanted to try
blue belt;Male;no answer
white belt;Female;mma
brown belt;Male;it is effective
blue belt;Female;become more confident
blue belt;Female;try somethig new / change
purple belt;Male;mma
blue belt;Female;anger management
blue belt;Female;health
blue belt;Female;mental health
blue belt;Female;try somethig new / change
blue belt;Female;work
blue belt;Male;ufc
blue belt;Male;just wanted to try
blue belt;Male;tired of being hurt in another sport
blue belt;Male;ufc
blue belt;Female;bad relationship
blue belt;Female;self defense
blue belt;Female;no answer
white belt;Male;curiosity
white belt;Male;grappled  / wrestled before
white belt;Male;fitness
white belt;Male;get in shape
white belt;Male;love from the first roll
blue belt;Male;get in shape
purple belt;Male;no answer
blue belt;Female;helps with / transitioned from judo
black belt;Male;friend
brown belt;Male;instructor / black belt
